Label;WGL-contributor;DNB-Link
GESIS - GESIS - Leibniz-Institut für Sozialwissenschaften, Mannheim, Köln (Sektion B);GESIS ;http://d-nb.info/gnd/16015541-1
GIGA - German Institute for Global and Area Studies / Leibniz-Institut für Globale und Regionale Studien, Hamburg (Sektion B);GIGA ;http://d-nb.info/gnd/10126944-4
GNM - Germanisches Nationalmuseum – Leibniz-Forschungsmuseum für Kulturgeschichte, Nürnberg (Sektion A);GNM ;http://d-nb.info/gnd/36441-1
GWZO - Leibniz-Institut für Geschichte und Kultur des östlichen Europa, Leipzig (Sektion A);GWZO ;http://d-nb.info/gnd/1135144311
HBI - Leibniz-Institut für Medienforschung │ Hans-Bredow-Institut, Hamburg (Sektion B);HBI ;http://d-nb.info/gnd/2013020-X
HI - Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft, Marburg (Sektion A);HI ;http://d-nb.info/gnd/3024025-6
HKI - Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut, Jena (Sektion C);HKI ;http://d-nb.info/gnd/6057389-2
HPI - Leibniz-Institut für Experimentelle Virologie, Hamburg (Sektion C);HPI ;http://d-nb.info/gnd/16167877-4
HSFK - Leibniz-Institut Hessische Stiftung Friedens- und Konfliktforschung, Frankfurt am Main (Sektion B);HSFK ;http://d-nb.info/gnd/2033778-4
IAMO - Leibniz-Institut für Agrarentwicklung in Transformationsökonomien, Halle (Sektion B);IAMO ;http://d-nb.info/gnd/1046298321
IAP - Leibniz-Institut für Atmosphärenphysik an der Universität Rostock, Kühlungsborn (Sektion D);IAP ;http://d-nb.info/gnd/4761929-6
IDS - Leibniz-Institut für Deutsche Sprache, Mannheim (Sektion A);IDS ;http://d-nb.info/gnd/2013759-X
IEG - Leibniz-Institut für Europäische Geschichte, Mainz (Sektion A);IEG ;http://d-nb.info/gnd/16340410-0
IfADo - Leibniz-Institut für Arbeitsforschung an der TU Dortmund, Dortmund (Sektion C);IfADo ;http://d-nb.info/gnd/16152455-2
IfL - Leibniz-Institut für Länderkunde, Leipzig (Sektion B);IfL ;http://d-nb.info/gnd/10065153-7
IFM-GEOMAR - Leibniz-Institut für Meereswissenschaften an der Universität Kiel, Kiel (2004-2011);IFM;http://d-nb.info/gnd/6034875-6
ifo - ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e. V., München (Sektion B);ifo ;http://d-nb.info/gnd/16345994-0
IfW - Kiel Institut für Weltwirtschaft, Kiel (Sektion B);IfW ;http://d-nb.info/gnd/1007681-5
IFWD - Leibniz-Institut für Festkörper- und Werkstoffforschung, Dresden (Sektion D);IFWD ;http://d-nb.info/gnd/10038043-8
IfZ - Institut für Zeitgeschichte München, München, Berlin (Sektion A);IfZ ;http://d-nb.info/gnd/2014524-X
IGB - Leibniz-Institut für Gewässerökologie und Binnenfischerei, Berlin (Sektion E);IGB ;http://d-nb.info/gnd/10025895-5
IGZ - Leibniz-Institut für Gemüse- und Zierpflanzenbau, Großbeeren (Sektion E);IGZ ;http://d-nb.info/gnd/16020644-3
IHP - Leibniz-Institut für innovative Mikroelektronik, Frankfurt (Oder) (Sektion D);IHP ;http://d-nb.info/gnd/6037010-5
IKZ - Leibniz-Institut für Kristallzüchtung, Berlin (Sektion D);IKZ ;http://d-nb.info/gnd/16175475-2
INM - INM - Leibniz-Institut für Neue Materialien, Saarbrücken (Sektion D);INM ;http://d-nb.info/gnd/10123313-9
INP - Leibniz-Institut für Plasmaforschung und Technologie, Greifswald (Sektion D);INP ;http://d-nb.info/gnd/10360413-3
IOM - Leibniz-Institut für Oberflächenmodifizierung, Leipzig (Sektion D);IOM ;http://d-nb.info/gnd/10168766-7
IÖR - Leibniz-Institut für ökologische Raumentwicklung, Dresden (Sektion B);IÖR ;http://d-nb.info/gnd/10061827-3
IOS - Leibniz-Institut für Ost- und Südosteuropaforschung, Regensburg (Sektion A);IOS ;http://d-nb.info/gnd/1131732642
IOW - Leibniz-Institut für Ostseeforschung, Rostock-Warnemünde (Sektion E);IOW ;http://d-nb.info/gnd/10353244-4
IPB - Leibniz-Institut für Pflanzenbiochemie, Halle (Sektion C);IPB ;http://d-nb.info/gnd/10140857-2
IPF - Leibniz-Institut für Polymerforschung, Dresden (Sektion D);IPF ;http://d-nb.info/gnd/10095026-7
IPHT - Leibniz-Institut für Photonische Technologien, Jena (Sektion D);IPHT ;http://d-nb.info/gnd/1069207349
IPK - Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung, Gatersleben (Sektion C);IPK ;http://d-nb.info/gnd/10201111-4
IPN - Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik an der Universität Kiel, Kiel (Sektion A);IPN ;http://d-nb.info/gnd/4073385-3
IRS - Leibniz-Institut für Raumbezogene Sozialforschung, Erkner (Sektion B);IRS ;http://d-nb.info/gnd/1100932461
ISAS - Leibniz-Institut für Analytische Wissenschaften – ISAS – e.V., Dortmund (Sektion D);ISAS ;http://d-nb.info/gnd/16090656-8
IUF - IUF – Leibniz-Institut für umweltmedizinische Forschung, Düsseldorf (Sektion C);IUF ;http://d-nb.info/gnd/1075931290
IVW - Leibniz-Institut für Verbundwerkstoffe, Kaiserslautern (Sektion D);IVW ;http://d-nb.info/gnd/1239691408
IWH - Leibniz-Institut für Wirtschaftsforschung, Halle (Sektion B);IWH ;http://d-nb.info/gnd/1069182672
IWM - Leibniz-Institut für Wissensmedien, Tübingen (Sektion A);IWM ;http://d-nb.info/gnd/1072317591
IWT - Leibniz-Institut für Werkstofforientierte Technologien, Bremen (Sektion D);IWT ;http://d-nb.info/gnd/1156569087
IZW - Leibniz-Institut für Zoo- und Wildtierforschung, Berlin (Sektion C);IZW ;http://d-nb.info/gnd/10174100-5
KIS - Leibniz-Institut für Sonnenphysik, Freiburg (Sektion D);KIS ;http://d-nb.info/gnd/10066383-7
LIAG - Leibniz-Institut für Angewandte Geophysik, Hannover (2008-2019);LIAG ;http://d-nb.info/gnd/16178962-6
LIB - Leibniz-Institut zur Analyse des Biodiversitätswandels, Bonn, Hamburg (Sektion C);LIB ;http://d-nb.info/gnd/1253807752
LIfBi - Leibniz-Institut für Bildungsverläufe, Bamberg (Sektion A);LIfBi ;http://d-nb.info/gnd/1051827892
LIKAT - Leibniz-Institut für Katalyse e.V., Rostock (Sektion D);LIKAT ;http://d-nb.info/gnd/10150004-X
LIN - Leibniz-Institut für Neurobiologie, Magdeburg (Sektion C);LIN ;http://d-nb.info/gnd/2169938-0
LIR - Leibniz-Institut für Resilienzforschung, Mainz (Sektion C);LIR ;http://d-nb.info/gnd/1214378811
LIT - Leibniz-Institut für Immuntherapie, Regensburg (Sektion C);LIT ;http://d-nb.info/gnd/125397358X
LSB - Leibniz-Institut für Lebensmittel-Systembiologie an der Technischen Universität München, Freising (Sektion C);LSB ;http://d-nb.info/gnd/1151135542
LZI - Schloss Dagstuhl - Leibniz-Zentrum für Informatik, Wadern (Sektion D);LZI ;http://d-nb.info/gnd/10348416-4
MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin (Sektion D);MBI ;http://d-nb.info/gnd/5227880-3
MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin (Sektion C);MfN ;http://d-nb.info/gnd/37657-7
MFO - Mathematisches Forschungsinstitut, Oberwolfach (Sektion D);MFO ;http://d-nb.info/gnd/2018983-7
PDI - Paul-Drude-Institut für Festkörperelektronik, Berlin (Sektion D);PDI ;http://d-nb.info/gnd/5240911-9
PIK - Potsdam-Institut für Klimafolgenforschung, Potsdam (Sektion E);PIK ;http://d-nb.info/gnd/1800081-2
RGZM - Römisch-Germanisches Zentralmuseum - Leibniz-Forschungsinstitut für Archäologie, Mainz (Sektion A);RGZM ;http://d-nb.info/gnd/4028138-3
RWI - RWI – Leibniz-Institut für Wirtschaftsforschung, Essen (Sektion B);RWI ;http://d-nb.info/gnd/1114189359
SAFE - Leibniz-Institut für Finanzmarktforschung SAFE, Frankfurt am Main (Sektion B);SAFE ;http://d-nb.info/gnd/1203589883
SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main (Sektion C);SGN ;http://d-nb.info/gnd/16018966-4
TIB - TIB – Leibniz-Informationszentrum Technik und Naturwissenschaften, Hannover (Sektion D);TIB ;http://d-nb.info/gnd/1080328793
TROPOS - Leibniz-Institut für Troposphärenforschung, Leipzig (Sektion E);TROPOS ;http://d-nb.info/gnd/10169942-6
WIAS - Weierstraß-Institut für Angewandte Analysis und Stochastik, Leibniz-Institut im Forschungsverbund Berlin e.V., Berlin (Sektion D);WIAS ;http://d-nb.info/gnd/2140666-2
WZB - Wissenschaftszentrum Berlin für Sozialforschung, Berlin (Sektion B);WZB ;http://d-nb.info/gnd/90968-3
ZALF - Leibniz-Zentrum für Agrarlandschaftsforschung, Müncheberg (Sektion E);ZALF ;http://d-nb.info/gnd/10154023-1
ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin (Sektion A);ZAS ;http://d-nb.info/gnd/1125565225
ZB MED - ZB MED – Leibniz-Informationszentrum Lebenswissenschaften, Köln (2014-2016);ZB MED ;http://d-nb.info/gnd/1049797671
ZBW - ZBW – Leibniz-Informationszentrum Wirtschaft, Hamburg, Kiel (Sektion B);ZBW ;http://d-nb.info/gnd/10158795-8
ZEW - ZEW – Leibniz-Zentrum für Europäische Wirtschaftsforschung, Mannheim (Sektion B);ZEW ;http://d-nb.info/gnd/2120785-9
ZfL - Leibniz-Zentrum für Literatur- und Kulturforschung, Berlin (Sektion A);ZfL ;http://d-nb.info/gnd/1178031993
ZFMK - Zoologisches Forschungsmuseums Alexander Koenig - Leibniz-Institut für terrestrische Biodiversitätsforschung, Bonn (2005-2021);ZFMK ;http://d-nb.info/gnd/10127705-2
ZMO - Leibniz-Zentrum Moderner Orient, Berlin (Sektion A);ZMO ;http://d-nb.info/gnd/1134988761
ZMT - Leibniz-Zentrum für Marine Tropenforschung GmbH, Bremen (Sektion E);ZMT ;http://d-nb.info/gnd/1128825635
ZPID - Leibniz-Institut für Psychologie, Trier (Sektion A);ZPID ;http://d-nb.info/gnd/16083346-2
ZZF - Leibniz-Zentrum für Zeithistorische Forschung, Potsdam (Sektion A);ZZF ;http://d-nb.info/gnd/5247582-7
